"caldt	iShares 7-10 Year Treasury Bond ETF	iShares S&P 500 Index Fund"
"2010-01-08	0.004115	0.02712"
"2010-01-15	0.010964	-0.007544"
"2010-01-22	0.006574	-0.038932999999999995"
"2010-01-29	0.00028800000000000006	-0.016344"
"2010-02-05	0.0063289999999999996	-0.006245999999999998"
"2010-02-12	-0.008813000000000001	0.010213"
"2010-02-19	-0.0065780000000000005	0.031312"
"2010-02-26	0.015193000000000002	-0.0035640000000000003"
"2010-03-05	-0.004821	0.030813"
"2010-03-12	-0.001282	0.010638"
