DATE,SPX
2001-01-03,1348.8422
2001-01-04,1334.6416
2001-01-05,1299.6256
2001-01-06,1299.6256
2001-01-07,1299.6256
2001-01-08,1297.4032
2001-01-09,1302.3958
2001-01-10,1314.9924
2001-01-11,1328.563
2001-01-12,1320.0541
