DATE,SPY_YIELD
2000-01-07,3.978911768
2000-01-14,3.942269407
2000-01-21,4.031819116
2000-01-28,4.316894599
2000-02-04,4.128614602
2000-02-11,4.270201255
2000-02-18,4.42454383
2000-02-25,4.488632538
2000-03-03,4.290611713
2000-03-10,4.353713064
